,Sampling Type,Sample Size,class_error,rec_error,Analytic Reconstruction Error,Analytic Classification Error,graph_id,num_conv_layers
157,Reconstruction-optimal,36,83.0,1825.6368,1792.0002,85.05313,19,1
158,Reconstruction-optimal,37,83.0,1708.3427,1664.0,81.0715,19,1
159,Reconstruction-optimal,38,83.0,1601.7554,1536.0,77.197296,19,1
160,Reconstruction-optimal,39,75.0,1451.9067,1408.0002,73.05952,19,1
161,Reconstruction-optimal,40,78.0,1319.652,1280.0001,69.19629,19,1
162,Reconstruction-optimal,41,71.0,1170.7672,1152.0002,65.23654,19,1
163,Reconstruction-optimal,42,71.0,1038.1796,1024.0001,60.54785,19,1
164,Reconstruction-optimal,43,68.0,915.03894,896.00006,55.684017,19,1
165,Reconstruction-optimal,44,68.0,775.30756,768.0002,50.614166,19,1
166,Reconstruction-optimal,45,59.0,639.7798,640.0002,45.763264,19,1
167,Reconstruction-optimal,46,44.0,512.71545,512.00024,40.464764,19,1
168,Reconstruction-optimal,47,34.0,395.00867,384.00012,34.840202,19,1
169,Reconstruction-optimal,48,29.0,261.39313,256.00003,27.237541,19,1
170,Reconstruction-optimal,49,6.0,132.85966,128.00006,16.862679,19,1
171,Reconstruction-optimal,50,0.0,7.3248234e-09,0.00010561943,0.03960281,19,1
172,Reconstruction-optimal,51,0.0,6.9547683e-09,0.000108242035,0.034965675,19,1
173,Reconstruction-optimal,52,0.0,6.7676544e-09,0.00023078918,0.115517676,19,1
174,Reconstruction-optimal,53,0.0,6.05814e-09,0.00012540817,0.068775624,19,1
175,Reconstruction-optimal,54,0.0,6.4862866e-09,0.00031256676,0.08919927,19,1
176,Reconstruction-optimal,55,0.0,5.9201417e-09,0.000102996826,0.011148367,19,1
177,Reconstruction-optimal,56,0.0,5.5118794e-09,8.034706e-05,0.028039932,19,1
178,Reconstruction-optimal,57,0.0,5.1017826e-09,0.00015497208,0.07741901,19,1
179,Reconstruction-optimal,58,0.0,5.1010915e-09,0.00014567375,0.033770483,19,1
180,Reconstruction-optimal,59,0.0,5.54308e-09,-1.7404556e-05,0.033198785,19,1
181,Reconstruction-optimal,60,0.0,5.6366014e-09,-7.9870224e-05,0.036655225,19,1
182,Reconstruction-optimal,61,0.0,5.0521725e-09,0.00012850761,0.04745865,19,1
0,Random,1,263.0,6260.458,6271.9995,235.17944,20,1
1,Random,2,226.0,6154.758,6144.0,226.04695,20,1
2,Random,3,215.0,6014.3496,6016.0005,216.28452,20,1
3,Random,4,212.0,5854.1167,5888.0,210.38441,20,1
4,Random,5,201.0,5745.263,5759.9995,203.7511,20,1
5,Random,6,203.0,5630.7393,5631.9995,196.74359,20,1
6,Random,7,209.0,5515.6387,5504.0005,190.93285,20,1
7,Random,8,186.0,5393.951,5376.0,186.1391,20,1
8,Random,9,187.0,5284.942,5248.0,181.03107,20,1
9,Random,10,181.0,5165.747,5120.0,176.96799,20,1
10,Random,11,183.0,5050.0264,4992.0,173.40651,20,1
11,Random,12,185.0,4930.9487,4864.0,169.11436,20,1
12,Random,13,181.0,4813.3467,4736.0,164.594,20,1
13,Random,14,182.0,4695.6914,4608.0,160.34212,20,1
14,Random,15,172.0,4537.0938,4480.0005,155.96494,20,1
15,Random,16,156.0,4445.237,4352.0,151.80217,20,1
16,Random,17,162.0,4285.127,4224.0,147.72731,20,1
17,Random,18,148.0,4165.8774,4096.0,143.86583,20,1
18,Random,19,147.0,4046.79,3968.0,140.30455,20,1
19,Random,20,146.0,3930.5637,3840.0005,136.9133,20,1
20,Random,21,147.0,3795.393,3712.0,133.51111,20,1
21,Random,22,139.0,3672.356,3583.9998,129.53355,20,1
22,Random,23,121.0,3532.926,3456.0002,126.191895,20,1
23,Random,24,116.0,3425.6191,3327.9998,123.283745,20,1
24,Random,25,109.0,3316.0942,3200.0002,119.188,20,1
25,Random,26,110.0,3198.0498,3072.0002,115.884415,20,1
26,Random,27,120.0,3059.8208,2944.0,112.71931,20,1
27,Random,28,115.0,2949.313,2816.0,109.46666,20,1
28,Random,29,111.0,2805.6074,2688.0,106.03741,20,1
29,Random,30,92.0,2638.6567,2560.0,102.30865,20,1
30,Random,31,91.0,2497.24,2432.0,98.72234,20,1
31,Random,32,93.0,2370.392,2304.0,95.252975,20,1
32,Random,33,95.0,2224.5142,2176.0,91.33018,20,1
33,Random,34,93.0,2072.289,2047.9999,88.17426,20,1
34,Random,35,92.0,1938.6687,1919.9998,84.840225,20,1
35,Random,36,98.0,1791.5505,1792.0,81.12156,20,1
36,Random,37,74.0,1673.873,1663.9998,77.37441,20,1
37,Random,38,62.0,1573.7798,1535.9995,73.53374,20,1
38,Random,39,58.0,1440.8563,1407.9995,69.472725,20,1
39,Random,40,55.0,1321.239,1279.998,65.92082,20,1
40,Random,41,27.0,1201.0248,1151.9967,61.88163,20,1
41,Random,42,32.0,1080.7439,1023.9968,57.294205,20,1
42,Random,43,33.0,967.82355,895.9959,53.194653,20,1
43,Random,44,29.0,862.6754,767.9957,48.697456,20,1
44,Random,45,9.0,709.70984,639.99585,43.380116,20,1
45,Random,46,12.0,576.3342,511.99612,37.27225,20,1
46,Random,47,11.0,422.9338,383.99554,31.297058,20,1
47,Random,48,10.0,279.81818,255.99477,24.82062,20,1
48,Random,49,9.0,152.54167,127.993996,15.62196,20,1
49,Random,50,0.0,1.7569139e-06,-0.03525138,0.01741135,20,1
50,Random,51,0.0,1.9242639e-06,-0.04667163,0.02263056,20,1
51,Random,52,0.0,1.6029922e-07,-0.010925531,0.029966684,20,1
52,Random,53,0.0,1.1637585e-07,-0.002462864,0.08057519,20,1
53,Random,54,0.0,6.246496e-08,-0.0010287762,0.032640208,20,1
54,Random,55,0.0,5.5842765e-08,-0.0014173985,0.05675021,20,1
55,Random,56,0.0,1.0142661e-07,-0.00027918816,0.0039641983,20,1
56,Random,57,0.0,1.09943514e-07,5.054474e-05,0.036930993,20,1
57,Random,58,0.0,7.456349e-08,9.942055e-05,0.020898273,20,1
58,Random,59,0.0,5.3962637e-08,0.0008893013,0.016524684,20,1
59,Random,60,0.0,3.2382705e-08,0.0006828308,0.047828883,20,1
60,Random,61,0.0,2.7770962e-08,0.0009739399,0.024728525,20,1
61,Classification-optimal,1,248.0,6279.159,6272.0,228.94417,20,1
62,Classification-optimal,2,220.0,6150.55,6144.0,217.10408,20,1
63,Classification-optimal,3,215.0,6014.1885,6016.0,208.17226,20,1
64,Classification-optimal,4,215.0,5889.006,5888.0,200.95604,20,1
65,Classification-optimal,5,218.0,5782.6846,5760.0,194.75993,20,1
66,Classification-optimal,6,196.0,5632.46,5632.0,188.95888,20,1
67,Classification-optimal,7,186.0,5507.2397,5504.0,183.65448,20,1
68,Classification-optimal,8,194.0,5367.943,5376.0,178.64537,20,1
69,Classification-optimal,9,195.0,5234.883,5248.0,173.91582,20,1
70,Classification-optimal,10,169.0,5102.5757,5120.0005,169.35606,20,1
71,Classification-optimal,11,164.0,4972.6914,4992.0005,164.97179,20,1
72,Classification-optimal,12,150.0,4822.105,4864.0,160.70619,20,1
73,Classification-optimal,13,144.0,4686.056,4736.0,156.51569,20,1
74,Classification-optimal,14,145.0,4555.2734,4608.0,152.43361,20,1
75,Classification-optimal,15,148.0,4428.1694,4480.0005,148.43095,20,1
76,Classification-optimal,16,129.0,4313.1025,4352.0005,144.61116,20,1
77,Classification-optimal,17,134.0,4190.5376,4224.0005,140.8088,20,1
78,Classification-optimal,18,136.0,4047.9272,4096.0005,137.05133,20,1
79,Classification-optimal,19,128.0,3934.44,3968.0005,133.322,20,1
80,Classification-optimal,20,125.0,3807.8936,3840.001,129.64064,20,1
81,Classification-optimal,21,129.0,3676.0469,3712.0005,125.96068,20,1
82,Classification-optimal,22,129.0,3558.5278,3584.0,122.33488,20,1
83,Classification-optimal,23,124.0,3381.9934,3455.9978,118.79102,20,1
84,Classification-optimal,24,127.0,3215.7432,3327.998,115.26922,20,1
85,Classification-optimal,25,119.0,3110.2341,3199.9978,111.774704,20,1
86,Classification-optimal,26,117.0,2981.361,3071.9973,108.27112,20,1
87,Classification-optimal,27,118.0,2872.361,2943.997,104.742386,20,1
88,Classification-optimal,28,101.0,2734.0242,2815.997,101.23494,20,1
89,Classification-optimal,29,97.0,2562.676,2687.9968,97.73279,20,1
90,Classification-optimal,30,96.0,2417.401,2559.9968,94.257286,20,1
91,Classification-optimal,31,88.0,2304.5674,2431.996,90.75373,20,1
92,Classification-optimal,32,83.0,2181.908,2303.996,87.25056,20,1
93,Classification-optimal,33,76.0,2045.7517,2175.9954,83.725784,20,1
