,Sampling Type,Sample Size,class_error,rec_error,Analytic Reconstruction Error,Analytic Classification Error,graph_id,num_conv_layers
166,Reconstruction-optimal,45,39.0,629.4197,639.9998,47.456,7,1
167,Reconstruction-optimal,46,44.0,536.2588,511.9998,41.664955,7,1
168,Reconstruction-optimal,47,48.0,374.0306,383.99997,36.438896,7,1
169,Reconstruction-optimal,48,29.0,234.67966,256.00003,28.570425,7,1
170,Reconstruction-optimal,49,5.0,127.464874,127.99992,16.41782,7,1
171,Reconstruction-optimal,50,0.0,1.0585911e-08,-3.6239624e-05,0.0021148026,7,1
172,Reconstruction-optimal,51,0.0,8.553663e-09,-4.9591064e-05,0.025907379,7,1
173,Reconstruction-optimal,52,0.0,8.180291e-09,1.7166138e-05,0.012245998,7,1
174,Reconstruction-optimal,53,0.0,7.394393e-09,-0.0001449585,0.07035637,7,1
175,Reconstruction-optimal,54,0.0,6.8397457e-09,-0.0001449585,0.0653136,7,1
176,Reconstruction-optimal,55,0.0,9.921007e-09,-0.0002193451,0.0022462618,7,1
177,Reconstruction-optimal,56,0.0,7.807635e-09,-1.9073486e-06,0.03162451,7,1
178,Reconstruction-optimal,57,0.0,6.461537e-09,-1.9073486e-05,0.031873178,7,1
179,Reconstruction-optimal,58,0.0,7.351846e-09,-0.0001487732,0.018684935,7,1
180,Reconstruction-optimal,59,0.0,9.016195e-09,4.7683716e-05,0.036750797,7,1
181,Reconstruction-optimal,60,0.0,6.4844934e-09,1.9073486e-06,0.005091943,7,1
182,Reconstruction-optimal,61,0.0,5.8763274e-09,2.4795532e-05,0.027845124,7,1
0,Random,1,241.0,6436.6826,6272.0005,233.99,8,1
1,Random,2,258.0,6300.17,6144.0005,223.79123,8,1
2,Random,3,238.0,6169.5312,6016.0,217.05215,8,1
3,Random,4,270.0,6033.0894,5888.0,210.3564,8,1
4,Random,5,234.0,5926.6953,5760.0005,202.98367,8,1
5,Random,6,237.0,5816.043,5632.0,197.65141,8,1
6,Random,7,228.0,5696.432,5504.0005,191.122,8,1
7,Random,8,221.0,5539.786,5376.0,186.57295,8,1
8,Random,9,222.0,5407.8506,5248.0,182.46419,8,1
9,Random,10,200.0,5268.556,5120.0,177.56601,8,1
10,Random,11,192.0,5175.5312,4992.0,170.87244,8,1
11,Random,12,191.0,5037.3735,4864.0,166.92946,8,1
12,Random,13,196.0,4927.9863,4735.9995,162.60942,8,1
13,Random,14,201.0,4807.834,4608.0,160.5989,8,1
14,Random,15,210.0,4650.1587,4480.0,157.16232,8,1
15,Random,16,202.0,4521.038,4352.0,154.5277,8,1
16,Random,17,200.0,4369.5293,4224.0,151.47365,8,1
17,Random,18,177.0,4214.675,4095.9998,144.10342,8,1
18,Random,19,174.0,4098.451,3967.9998,137.03467,8,1
19,Random,20,151.0,3956.167,3839.9998,134.30026,8,1
20,Random,21,132.0,3810.9927,3712.0002,132.13869,8,1
21,Random,22,130.0,3679.7593,3584.0,129.32812,8,1
22,Random,23,131.0,3542.5532,3456.0002,126.25115,8,1
23,Random,24,106.0,3411.5332,3328.0,121.356606,8,1
24,Random,25,121.0,3284.634,3200.0,116.91144,8,1
25,Random,26,104.0,3140.6904,3071.9998,113.86487,8,1
26,Random,27,98.0,3026.399,2944.0002,110.83006,8,1
27,Random,28,90.0,2901.7612,2816.0,106.7948,8,1
28,Random,29,96.0,2776.5347,2688.0,103.829,8,1
