,Sampling Type,Sample Size,Signal idx,class_error,rec_error,Analytic Reconstruction Error,Analytic Classification Error
447,Random,5,67,16.0,66.59996,2.9999998,8.804722
448,Random,5,68,15.5,67.81453,2.9999998,8.804722
449,Random,5,69,11.5,81.53355,2.9999998,8.804722
450,Random,5,70,18.0,136.48189,2.9999998,8.804722
451,Random,5,71,17.0,45.437508,2.9999998,8.804722
452,Random,5,72,14.5,49.288853,2.9999998,8.804722
453,Random,5,73,12.5,29.367884,2.9999998,8.804722
454,Random,5,74,16.5,101.52485,2.9999998,8.804722
455,Random,5,75,10.0,67.493126,2.9999998,8.804722
456,Random,5,76,14.5,114.23065,2.9999998,8.804722
457,Random,5,77,11.0,97.71481,2.9999998,8.804722
458,Random,5,78,13.5,91.36755,2.9999998,8.804722
459,Random,5,79,10.5,82.05023,2.9999998,8.804722
460,Random,5,80,10.5,83.08834,2.9999998,8.804722
461,Random,5,81,9.5,142.27197,2.9999998,8.804722
462,Random,5,82,13.5,247.19357,2.9999998,8.804722
463,Random,5,83,12.5,224.99367,2.9999998,8.804722
464,Random,5,84,11.5,172.69304,2.9999998,8.804722
465,Random,5,85,13.5,140.2298,2.9999998,8.804722
466,Random,5,86,13.5,112.70186,2.9999998,8.804722
467,Random,5,87,14.0,133.97519,2.9999998,8.804722
468,Random,5,88,12.5,146.48193,2.9999998,8.804722
469,Random,5,89,12.5,214.86717,2.9999998,8.804722
470,Random,5,90,13.5,83.07123,2.9999998,8.804722
471,Random,5,91,12.5,70.08136,2.9999998,8.804722
472,Random,5,92,13.5,55.436996,2.9999998,8.804722
473,Random,5,93,9.5,45.247395,2.9999998,8.804722
474,Random,5,94,14.5,64.44558,2.9999998,8.804722
475,Random,6,0,24.0,29956812.0,2.0445218,6.142737
476,Random,6,1,23.5,32918984.0,2.0445218,6.142737
477,Random,6,2,27.0,30925642.0,2.0445218,6.142737
478,Random,6,3,29.0,31938580.0,2.0445218,6.142737
479,Random,6,4,25.5,29560906.0,2.0445218,6.142737
480,Random,6,5,25.5,28275896.0,2.0445218,6.142737
481,Random,6,6,24.5,29329768.0,2.0445218,6.142737
482,Random,6,7,21.0,28110768.0,2.0445218,6.142737
483,Random,6,8,20.0,24774340.0,2.0445218,6.142737
484,Random,6,9,25.5,25335004.0,2.0445218,6.142737
485,Random,6,10,23.0,31216776.0,2.0445218,6.142737
486,Random,6,11,21.5,32461778.0,2.0445218,6.142737
487,Random,6,12,30.5,31972984.0,2.0445218,6.142737
488,Random,6,13,26.5,31015816.0,2.0445218,6.142737
489,Random,6,14,22.0,27946082.0,2.0445218,6.142737
490,Random,6,15,15.0,22920096.0,2.0445218,6.142737
