,Sampling Type,Sample Size,Signal idx,class_error,rec_error,Analytic Reconstruction Error,Analytic Classification Error
232,Random,3,42,19.0,232.65343,5.0,12.485843
233,Random,3,43,15.5,112.29509,5.0,12.485843
234,Random,3,44,17.0,71.03507,5.0,12.485843
235,Random,3,45,19.5,72.07289,5.0,12.485843
236,Random,3,46,19.5,80.405045,5.0,12.485843
237,Random,3,47,22.0,177.46048,5.0,12.485843
238,Random,3,48,23.5,427.1306,5.0,12.485843
239,Random,3,49,20.5,585.83954,5.0,12.485843
240,Random,3,50,21.5,904.18207,5.0,12.485843
241,Random,3,51,20.5,960.4043,5.0,12.485843
242,Random,3,52,19.5,333.2463,5.0,12.485843
243,Random,3,53,17.5,518.2973,5.0,12.485843
244,Random,3,54,23.0,436.35962,5.0,12.485843
245,Random,3,55,23.5,332.495,5.0,12.485843
246,Random,3,56,19.5,256.89465,5.0,12.485843
247,Random,3,57,17.0,203.96521,5.0,12.485843
248,Random,3,58,23.5,206.46852,5.0,12.485843
249,Random,3,59,18.0,169.35199,5.0,12.485843
250,Random,3,60,18.5,411.7815,5.0,12.485843
251,Random,3,61,19.0,388.08032,5.0,12.485843
252,Random,3,62,19.0,406.78784,5.0,12.485843
253,Random,3,63,19.0,460.81982,5.0,12.485843
254,Random,3,64,20.0,575.81635,5.0,12.485843
255,Random,3,65,21.0,168.57152,5.0,12.485843
256,Random,3,66,19.0,152.89139,5.0,12.485843
257,Random,3,67,26.0,145.50351,5.0,12.485843
258,Random,3,68,26.5,292.64056,5.0,12.485843
259,Random,3,69,27.0,431.05673,5.0,12.485843
260,Random,3,70,20.5,778.4778,5.0,12.485843
261,Random,3,71,29.0,651.1332,5.0,12.485843
262,Random,3,72,23.5,261.08783,5.0,12.485843
263,Random,3,73,25.5,293.16553,5.0,12.485843
264,Random,3,74,15.5,292.47418,5.0,12.485843
265,Random,3,75,20.0,497.07703,5.0,12.485843
266,Random,3,76,13.0,272.12097,5.0,12.485843
