index,Sampling Criterion,Sample Size,τ,graph_id
90,W. Random,91,-0.48506626171170525,1
91,W. Random,92,-2.0480768585081197,1
92,W. Random,93,-0.02843593155059807,1
93,W. Random,94,-0.06761004798743783,1
94,W. Random,95,-0.6783809949110889,1
95,W. Random,96,-0.07645625342435096,1
96,W. Random,97,-1.1951323105655718,1
97,W. Random,98,-0.02505701468759298,1
98,W. Random,99,-0.04776056989983886,1
99,W. Random,100,-0.0752160926922528,1
0,MMSE,1,0.1174001415086093,2
1,MMSE,2,0.12913618316093178,2
2,MMSE,3,0.1296702893622716,2
3,MMSE,4,0.1302299965621822,2
4,MMSE,5,0.1323977595751823,2
5,MMSE,6,0.13585944802153377,2
6,MMSE,7,0.13610797314600573,2
7,MMSE,8,0.13813300745829551,2
8,MMSE,9,0.13816012524483198,2
9,MMSE,10,0.14045861399754658,2
10,MMSE,11,0.14148066262993045,2
11,MMSE,12,0.14262021414092738,2
12,MMSE,13,0.1436974520667139,2
13,MMSE,14,0.14697062375943445,2
14,MMSE,15,0.1613279787166146,2
15,MMSE,16,0.17408354622998023,2
16,MMSE,17,0.17706617127611787,2
17,MMSE,18,0.18276855377898932,2
18,MMSE,19,0.1896779358939007,2
19,MMSE,20,0.1942142335824812,2
20,MMSE,21,0.19669808939730335,2
21,MMSE,22,0.20022137210476562,2
22,MMSE,23,0.21812288069378027,2
23,MMSE,24,0.22327380972988423,2
24,MMSE,25,0.22386348271293882,2
25,MMSE,26,0.22962936145442256,2
26,MMSE,27,0.24701292893667032,2
27,MMSE,28,0.2564455461631361,2
28,MMSE,29,0.2633318694476358,2
29,MMSE,30,0.3027247814162692,2
30,MMSE,31,0.31593128675026994,2
31,MMSE,32,0.3213774641887511,2
32,MMSE,33,0.32821411522655664,2
33,MMSE,34,0.3406566577998781,2
34,MMSE,35,0.3952627084938456,2
35,MMSE,36,0.426612304881904,2
36,MMSE,37,0.4330063736961577,2
37,MMSE,38,0.44417871534010656,2
38,MMSE,39,0.4838253375664451,2
39,MMSE,40,0.501171825320084,2
40,MMSE,41,0.523583746709545,2
41,MMSE,42,0.7321716158125853,2
42,MMSE,43,0.9863523140903865,2
43,MMSE,44,1.025083152942011,2
44,MMSE,45,1.1880180252535184,2
45,MMSE,46,1.5010520428590413,2
46,MMSE,47,1.8399712937392507,2
47,MMSE,48,1.9856609877876823,2
48,MMSE,49,4.218459863794095,2
49,MMSE,50,9.195052658748452,2
50,MMSE,51,-8.322671658352908,2
51,MMSE,52,-2.836594256351836,2
52,MMSE,53,-1.567509602890624,2
53,MMSE,54,-1.4295816430511281,2
54,MMSE,55,-1.0321050274633592,2
55,MMSE,56,-0.7932126857360003,2
56,MMSE,57,-0.7390966329519812,2
57,MMSE,58,-0.6932046793373644,2
58,MMSE,59,-0.5536352623546719,2
59,MMSE,60,-0.5137381752130465,2
60,MMSE,61,-0.48268216646911244,2
61,MMSE,62,-0.45130183902687976,2
62,MMSE,63,-0.40005582355533276,2
63,MMSE,64,-0.3442811875935107,2
64,MMSE,65,-0.3118753001573225,2
65,MMSE,66,-0.3103439414451373,2
66,MMSE,67,-0.2456133002050663,2
67,MMSE,68,-0.24161866097928025,2
68,MMSE,69,-0.22073739289642305,2
69,MMSE,70,-0.22264222095147373,2
70,MMSE,71,-0.20402451380393954,2
71,MMSE,72,-0.20056467194340258,2
72,MMSE,73,-0.17910476116339852,2
73,MMSE,74,-0.16750264399925072,2
74,MMSE,75,-0.15816239144892563,2
75,MMSE,76,-0.14535027697767475,2
76,MMSE,77,-0.13994917803256754,2
77,MMSE,78,-0.12134933523004321,2
78,MMSE,79,-0.11811732311413721,2
79,MMSE,80,-0.1134376344746741,2
80,MMSE,81,-0.10107053767696642,2
81,MMSE,82,-0.0981132936320634,2
82,MMSE,83,-0.09325752378129551,2
83,MMSE,84,-0.09148118426768832,2
84,MMSE,85,-0.08998700642816289,2
85,MMSE,86,-0.08075487421334629,2
86,MMSE,87,-0.0797128578939251,2
87,MMSE,88,-0.07773044171935908,2
88,MMSE,89,-0.07554382792590957,2
89,MMSE,90,-0.06787282088090194,2
90,MMSE,91,-0.06696097249397895,2
91,MMSE,92,-0.06564137649813517,2
92,MMSE,93,-0.061255845355483986,2
93,MMSE,94,-0.06075862479281113,2
94,MMSE,95,-0.06006840467270393,2
95,MMSE,96,-0.05838521925447822,2
96,MMSE,97,-0.05605104524932898,2
97,MMSE,98,-0.05228878152317122,2
98,MMSE,99,-0.05022261140668007,2
99,MMSE,100,-0.04957692990990523,2
0,Conf. Ellips.,1,0.1174001415086093,2
1,Conf. Ellips.,2,0.12913618316093178,2
2,Conf. Ellips.,3,0.1296702893622716,2
3,Conf. Ellips.,4,0.1302299965621822,2
4,Conf. Ellips.,5,0.1323977595751823,2
