,Sampling Type,Sample Size,class_error,rec_error
357,Reconstruction-optimal,98,0,3.2949984e-12
358,Reconstruction-optimal,99,0,3.9138796e-12
359,Reconstruction-optimal,100,0,2.5017967e-12
360,Reconstruction-optimal,101,0,2.3654867e-12
361,Reconstruction-optimal,102,0,3.360778e-12
362,Reconstruction-optimal,103,0,3.5057842e-12
363,Reconstruction-optimal,104,0,4.675501e-12
364,Reconstruction-optimal,105,0,2.7425375e-12
365,Reconstruction-optimal,106,0,4.0114687e-12
366,Reconstruction-optimal,107,0,4.0693425e-12
367,Reconstruction-optimal,108,0,3.1636477e-12
368,Reconstruction-optimal,109,0,4.9466325e-12
369,Reconstruction-optimal,110,0,2.2650568e-12
370,Reconstruction-optimal,111,0,5.072185e-12
371,Reconstruction-optimal,112,0,5.3292943e-12
372,Reconstruction-optimal,113,0,4.4313437e-12
373,Reconstruction-optimal,114,0,7.2601443e-12
374,Reconstruction-optimal,115,0,5.6411317e-12
375,Reconstruction-optimal,116,0,4.361582e-12
376,Reconstruction-optimal,117,0,3.863399e-12
377,Reconstruction-optimal,118,0,4.1830953e-12
378,Reconstruction-optimal,119,0,3.4261391e-12
379,Reconstruction-optimal,120,0,3.1735363e-12
380,Reconstruction-optimal,121,0,3.352303e-12
381,Reconstruction-optimal,122,0,2.9794732e-12
382,Reconstruction-optimal,123,0,2.7262428e-12
383,Reconstruction-optimal,124,0,2.6617014e-12
384,Reconstruction-optimal,125,0,2.2965646e-12
385,Reconstruction-optimal,126,0,2.5175864e-12
386,Reconstruction-optimal,127,0,1.8597977e-12
387,Reconstruction-optimal,128,0,1.5219943e-12
388,Reconstruction-optimal,129,0,1.841896e-12
389,Reconstruction-optimal,130,0,1.4225236e-12
