Graph,Sampling Criterion,μ,Sample Size,log MSE,log MSE bound
0,WMSE,1.0,15,-5.2915583,4.127926552970355
0,WMSE,1.0,16,-5.3318257,4.113978588162381
0,WMSE,1.0,17,-5.469551,4.103452808670709
0,WMSE,1.0,18,-5.5498095,4.095853435560788
0,WMSE,1.0,19,-5.8157296,4.090766911156284
0,WMSE,1.0,20,-5.8195243,4.087845746435722
0,WMSE,1.0,21,-5.915334,4.086796016290055
0,WMSE,1.0,22,-5.9397764,4.0873676980825655
0,WMSE,1.0,23,-6.011708,4.089346986449379
0,WMSE,1.0,24,-6.038544,4.09255024127975
0,WMSE,1.0,25,-6.0581,4.096819117732434
0,WMSE,1.0,26,-6.148868,4.102016595329956
0,WMSE,1.0,27,-6.196136,4.108023615774391
0,WMSE,1.0,28,-6.272868,4.11473659387946
0,WMSE,1.0,29,-6.3081446,4.122064944917152
0,WMSE,1.0,30,-6.4209347,4.129929513389915
0,WMSE,1.0,31,-6.429883,4.13826065555788
0,WMSE,1.0,32,-6.4924445,4.146997331152573
0,WMSE,1.0,33,-6.538818,4.156085623018464
0,WMSE,1.0,34,-6.614122,4.1654779925893255
0,WMSE,1.0,35,-6.6601667,4.175132444668677
0,WMSE,1.0,36,-6.6702867,4.185011765088338
0,WMSE,1.0,37,-6.716281,4.1950829802118355
0,WMSE,1.0,38,-6.8574624,4.205316837606633
0,WMSE,1.0,39,-6.8887386,4.215687330219224
0,WMSE,1.0,40,-6.9182725,4.226171352483969
0,WMSE,1.0,41,-6.979329,4.2367483119844005
0,WMSE,1.0,42,-7.003974,4.24739992278972
0,WMSE,1.0,43,-7.077945,4.258109835109234
0,WMSE,1.0,44,-7.111946,4.268863479289035
0,WMSE,1.0,45,-7.122156,4.279647897215819
0,Uniform Random,0.0001,1,-2.690765,6.1186868243838255
0,Uniform Random,0.0001,2,-2.703958,5.485008306115363
0,Uniform Random,0.0001,3,-2.7433805,5.129539083088365
0,Uniform Random,0.0001,4,-2.8393495,4.889206583600273
0,Uniform Random,0.0001,5,-3.3739648,4.714486374345618
0,Uniform Random,0.0001,6,-3.9157495,4.581654941482811
0,Uniform Random,0.0001,7,-4.9468303,4.477910377896217
0,Uniform Random,0.0001,8,-5.381118,4.395453810916478
0,Uniform Random,0.0001,9,-5.552083,4.329196035358266
0,Uniform Random,0.0001,10,-5.714826,4.275620069530404
0,Uniform Random,0.0001,11,-5.867277,4.232187900536923
0,Uniform Random,0.0001,12,-5.8734846,4.197005351802112
0,Uniform Random,0.0001,13,-5.9838505,4.168620485309964
0,Uniform Random,0.0001,14,-6.010732,4.145896266530034
0,Uniform Random,0.0001,15,-6.7826467,4.127926552970355
0,Uniform Random,0.0001,16,-6.778158,4.113978588162381
0,Uniform Random,0.0001,17,-6.786779,4.103452808670709
0,Uniform Random,0.0001,18,-6.794137,4.095853435560788
0,Uniform Random,0.0001,19,-6.8363066,4.090766911156284
0,Uniform Random,0.0001,20,-8.419362,4.087845746435722
0,Uniform Random,0.0001,21,-8.592333,4.086796016290055
0,Uniform Random,0.0001,22,-8.661081,4.0873676980825655
0,Uniform Random,0.0001,23,-8.699907,4.089346986449379
0,Uniform Random,0.0001,24,-8.721261,4.09255024127975
0,Uniform Random,0.0001,25,-9.162519,4.096819117732434
0,Uniform Random,0.0001,26,-9.2796135,4.102016595329956
0,Uniform Random,0.0001,27,-9.418095,4.108023615774391
0,Uniform Random,0.0001,28,-9.515575,4.11473659387946
0,Uniform Random,0.0001,29,-9.556854,4.122064944917152
0,Uniform Random,0.0001,30,-9.581626,4.129929513389915
0,Uniform Random,0.0001,31,-9.5897455,4.13826065555788
0,Uniform Random,0.0001,32,-9.593467,4.146997331152573
0,Uniform Random,0.0001,33,-9.634401,4.156085623018464
